title,artist,year,genre
The College Dropout,Kanye West,2004,Hip hop
Late Registration,Kanye West,2005,Hip hop
Graduation,Kanye West,2007,Hip hop
808s & Heartbreak,Kanye West,2008,Pop
My Beautiful Dark Twisted Fantasy,Kanye West,2010,Hip hop
Yeezus,Kanye West,2013,Hip hop
The Life of Pablo,Kanye West,2016,Hip hop
ye,Kanye West,2018,Hip hop
Jesus Is King,Kanye West,2019,Gospel
Donda,Kanye West,2021,Hip hop
Rodeo,Travis Scott,2015,Hip hop
Birds in the Trap Sing McKnight,Travis Scott,2016,Hip hop
Astroworld,Travis Scott,2018,Hip hop
Section.80,Kendrick Lamar,2011,Hip hop
good kid m.A.A.d city,Kendrick Lamar,2012,Hip hop
To Pimp a Butterfly,Kendrick Lamar,2015,Hip hop
Untitled Unmastered,Kendrick Lamar,2016,Hip hop
DAMN.,Kendrick Lamar,2017,Hip hop
Heaven or Hell,Don Toliver,2020,Hip hop
